,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,Macro HF,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500
2001/1/31,0.01274990316570880000 ,0.01274268197391360000 ,0.01635363390209310000 ,0.00480478817768870000 ,-0.01085954894333090000 ,-0.02349162056490210000 ,0.02879999649541620000 ,0.04590000087422470000 ,0.02150000237491460000 ,0.02040000879750580000 ,0.04824002852631050000 ,,0.06330377132543070000 ,0.01925644799724700000 ,0.04883718343106240000 ,-0.00051589239044080900 ,0.13758300000000000000 ,0.00045772534654786600 ,-0.01189493242914270000 ,0.12872000000000000000 ,0.06908583377372790000 ,0.00384593620151663000 ,0.05206305868292180000 ,0.01610675317032630000 ,-0.02350780532598710000 ,0.03547906921052710000 
2001/2/28,0.00259605838079469000 ,0.00658792806694741000 ,0.00871128026218426000 ,0.00164407271137401000 ,0.01265490736900990000 ,-0.00421436205855796000 ,-0.02559999467843840000 ,-0.00379999509023909000 ,-0.01709999051161750000 ,0.01050000171245190000 ,-0.01331519098065900000 ,,0.01519046569767600000 ,-0.08462281111131580000 ,-0.15945524273811000000 ,-0.07496763366927370000 ,-0.07838373112115780000 ,-0.08778868779395040000 ,-0.04497837844110820000 ,-0.04736338507335750000 ,-0.16977199665759800000 ,-0.02780691387949940000 ,-0.06561420868453460000 ,-0.06086873900958640000 ,0.00488997555012216000 ,-0.09118169112765850000 
2001/3/31,0.00795582973073627000 ,0.00831367924528292000 ,0.00502022763954968000 ,-0.02047884836859140000 ,0.02386403461989730000 ,-0.04260561030409540000 ,-0.02299999918470750000 ,-0.00249999530316058000 ,0.00829999260914316000 ,0.00259998951119655000 ,-0.01118006304176510000 ,,-0.02003306688675530000 ,-0.06585090714437370000 ,-0.09164414816363790000 ,-0.06666081545498380000 ,-0.09866989693966610000 ,-0.07458880808816960000 ,-0.02968589175680950000 ,-0.11368413220988400000 ,-0.10881782144241400000 ,-0.03533658176968690000 ,-0.04891582776542050000 ,-0.06204223182535200000 ,-0.03443758188283730000 ,-0.06335063545537360000 
2001/4/30,-0.00816033319861298000 ,0.00263142506286185000 ,-0.00415045936616842000 ,-0.00120612879153703000 ,0.01069863918369630000 ,0.03518422780001270000 ,0.02270000173573020000 ,0.01229998850001810000 ,-0.00119999434584317000 ,0.00760000995227061000 ,-0.00483139911341335000 ,,-0.01356823905476230000 ,0.07371457449684330000 ,0.07124413067896930000 ,0.06949189891862590000 ,0.04929161622404150000 ,0.07106321959167940000 ,0.06793913768753600000 ,0.00145852133218605000 ,0.12647316841057500000 ,0.04904096944196980000 ,0.07822958902222330000 ,0.08552225922918220000 ,0.02364799379724760000 ,0.07771048145241520000 
2001/5/31,0.01013469084463760000 ,0.00542400559897338000 ,0.00603172940991681000 ,0.00187406175923055000 ,0.00058623660030621100 ,-0.02096987789549290000 ,0.00899999900996451000 ,0.01939999920158520000 ,-0.00100000109557086000 ,0.00929998226308304000 ,0.02412412412412410000 ,,0.01755256483111340000 ,-0.01303114321963410000 ,0.01838249755970200000 ,-0.03529365222019850000 ,0.01158391886617570000 ,-0.04875164277121780000 ,-0.00239743337092835000 ,-0.00165547301474211000 ,-0.01471689419465980000 ,0.02246459851027250000 ,0.02457977219539620000 ,0.01862746067371290000 ,0.00681689074039005000 ,0.00669998487445800000 
2001/6/30,0.00567258809186200000 ,0.00348048030628245000 ,0.00377845551727374000 ,-0.00701297566114689000 ,0.00942855644946938000 ,-0.03988055321514750000 ,-0.00319999941343385000 ,0.01110000446364710000 ,0.00429998845494506000 ,-0.00229999896066035000 ,0.01524777636594670000 ,,-0.02633234988844300000 ,-0.03147184535116340000 ,-0.03835211079714270000 ,-0.04089555008608470000 ,-0.02088465683581690000 ,-0.03780283850263840000 ,-0.05956167732883540000 ,-0.02430653946664150000 ,-0.02315907471514200000 ,-0.02217917055265810000 ,0.03452953325663400000 ,-0.00940551646040599000 ,0.01880759826970090000 ,-0.02433864794673410000 
2001/7/31,0.01195779855595760000 ,0.01150355511879300000 ,0.02235725988759140000 ,0.02291144395422440000 ,0.00056310821153915400 ,0.01301988502384880000 ,-0.01060000585853200000 ,0.00299999553102670000 ,-0.00299999139884999000 ,0.00700001972412179000 ,-0.05179551362279780000 ,,0.01624740145099060000 ,-0.01336641961305770000 ,-0.00462704900459798000 ,-0.01819488628706540000 ,-0.06363502140853380000 ,0.00248656127413094000 ,-0.07450868642704390000 ,-0.03827164477717890000 ,-0.02499199941891140000 ,-0.00212658828923251000 ,-0.05412930879455520000 ,-0.02862477556847140000 ,-0.01550673804688960000 ,-0.00984418904044226000 
2001/8/31,0.01492202471690750000 ,0.00622928334666817000 ,0.01145146566588910000 ,0.03010244151213780000 ,-0.02230857355172300000 ,-0.00043607905995490800 ,-0.01219999485712960000 ,0.01290001190782690000 ,0.00569999197761129000 ,0.00849999130936618000 ,0.04477611940298520000 ,,0.00786855276996179000 ,-0.04814659551179190000 ,-0.05451318105050580000 ,-0.02534145038841060000 ,-0.01002620733152810000 ,-0.02603570586643800000 ,-0.02501659370824740000 ,-0.01578140903041080000 ,-0.08177478259544500000 ,-0.04005439587149270000 ,-0.03229841759325410000 ,-0.03844941560974300000 ,0.02906431651978260000 ,-0.06260167855816700000 
2001/9/30,-0.00019186254445746600 ,0.01647072187198280000 ,0.01165274421123350000 ,0.00775867640832106000 ,-0.00414772340934855000 ,-0.06745666784577300000 ,-0.03729999760267070000 ,-0.03259999486972030000 ,0.00630000670884812000 ,0.00240000764628978000 ,-0.03270165208940720000 ,,-0.06908128366787240000 ,-0.08824926647515600000 ,-0.09337809932583010000 ,-0.10128688965903200000 ,-0.15492052681876600000 ,-0.09979457905139510000 ,-0.09342807760958930000 ,-0.15721948226096100000 ,-0.09984147547400620000 ,-0.07038112514930270000 ,-0.13461271701260000000 ,-0.12058992829956800000 ,0.06869533527696790000 ,-0.08075261032364610000 
2001/10/31,0.01014520385115310000 ,0.00966642454042566000 ,0.02092564506696020000 ,0.00903750998580732000 ,0.00877427633966499000 ,-0.04746551353538420000 ,0.01849999264777450000 ,0.02069998824174340000 ,0.02709999896817310000 ,0.00849998580662858000 ,0.00055256944793291600 ,,0.03200239445753520000 ,0.01909501332965120000 ,0.00112849050538189000 ,0.02561194241339740000 ,0.06201849649372520000 ,0.03179198775228650000 ,-0.00205921163161571000 ,0.05390828310613100000 ,0.05246465416181610000 ,-0.00860781023743307000 ,0.05852059107499710000 ,0.03959687138756850000 ,-0.04637681159420290000 ,0.01906904532532840000 
2001/11/30,-0.00859546710686077000 ,-0.00237963475373537000 ,-0.01378747863911770000 ,-0.01162226074353250000 ,0.01252168462785890000 ,0.00772549279883195000 ,0.01969999753357080000 ,0.01590001025845430000 ,0.00140000548778363000 ,0.00540001260903700000 ,-0.01280249020986050000 ,,0.03514428777371180000 ,0.05900810671513850000 ,0.09171143798231580000 ,0.03686297144134510000 ,0.10432679597771500000 ,0.04014064464698250000 ,0.01085014084891300000 ,0.13368559767659000000 ,0.09606569465243900000 ,0.05813713557062550000 ,0.07741657597503560000 ,0.08379683003483880000 ,-0.01877346683354200000 ,0.07670621274106340000 
2001/12/31,-0.00704401782491837000 ,0.00027736173517500800 ,-0.00635017524514636000 ,-0.02089911883519300000 ,0.00466194276002407000 ,-0.01969914511901160000 ,0.01990000090773410000 ,0.01509998552382450000 ,0.01509999884545790000 ,0.00599998997211371000 ,0.01195138076590550000 ,,-0.00786149269474501000 ,0.00618514268330062000 ,0.01561762120494970000 ,0.00594106677172834000 ,0.07931170535350130000 ,0.02561544960318310000 ,-0.06748880045838400000 ,0.08311702968062300000 ,-0.00187923957767844000 ,0.02355165742406350000 ,0.06172335154468360000 ,0.04015881418740070000 ,0.01658163265306120000 ,0.00876062958695312000 
2002/1/31,0.01649684770627300000 ,0.00205190771960950000 ,0.00809495972336438000 ,-0.00898364927575868000 ,0.01552603395237550000 ,-0.00672520709741120000 ,0.00224716618133480000 ,0.00785758909215728000 ,0.00411313979269590000 ,0.01026487429216210000 ,0.01849432103729030000 ,0.00862199999999991000 ,0.00552893067656735000 ,-0.03039695937128940000 ,-0.00746066786156496000 ,-0.05313467844426660000 ,0.03374441649124590000 ,-0.05225276413697770000 ,-0.07828117957244870000 ,0.03981245115915620000 ,-0.01766629085663340000 ,-0.00770416354489989000 ,-0.01040129432835080000 ,-0.00596819451088970000 ,0.01290553862699410000 ,-0.01459314790370970000 
2002/2/28,0.01191609886767870000 ,0.00492556311915449000 ,0.00969098914923716000 ,0.00672149182131321000 ,0.00699900104024653000 ,0.02591279879871760000 ,-0.00891492613346911000 ,-0.01370719664256830000 ,-0.01207901833930680000 ,0.00042050338956234300 ,0.03750123359321030000 ,0.01616264566904160000 ,-0.01317774816348560000 ,-0.00879536633386402000 ,-0.01060041280098940000 ,0.00701455070148782000 ,0.01620721715843270000 ,-0.00016862971221642800 ,0.04150304251681260000 ,0.00715459537456420000 ,-0.04149955162890920000 ,0.00160500139143283000 ,-0.02740630855715180000 ,-0.01061197392224460000 ,0.04954875243319770000 ,-0.01928532431380390000 
2002/3/31,-0.01850730863223070000 ,-0.00737966736424722000 ,-0.01663584152633110000 ,-0.00590944023560735000 ,-0.00917593098487735000 ,0.10225287295695300000 ,0.02027157560531290000 ,0.01911383206475300000 ,0.02111756961036160000 ,0.00633249809815961000 ,0.00109388376296016000 ,-0.00320999410688017000 ,0.02523144402095980000 ,0.04404984152341900000 ,0.03564367981298820000 ,0.05409200739920620000 ,0.05984098186950890000 ,0.05419310705179030000 ,0.05734856432886140000 ,0.06678937419162260000 ,0.03458820709465990000 ,0.04731043840661650000 ,0.08037207520067740000 ,0.05996315268479880000 ,0.02056988703422680000 ,0.03760924374823470000 
2002/4/30,0.02037372343327700000 ,0.01181757656458050000 ,0.01939200760237970000 ,0.02959535030610370000 ,-0.00723961060106404000 ,0.00000598150518604790 ,0.00165691886710606000 ,0.00276230154559420000 ,0.00390000588618244000 ,0.00591810343413401000 ,0.00983419639887884000 ,0.02505104567780640000 ,0.01603777436078870000 ,-0.03398932979217120000 ,-0.00788314975104110000 ,0.00662731627698299000 ,0.00640813393996020000 ,-0.00763267051078886000 ,0.05821516941294400000 ,0.01009111851002120000 ,-0.08161517787980250000 ,-0.03429433987097470000 ,0.00911317335785045000 ,-0.01938530602539060000 ,0.01916405088385930000 ,-0.06062784390324440000 
2002/5/31,0.00572241642507509000 ,0.00378351702582669000 ,0.00849679549427074000 ,0.02242967753509830000 ,-0.02727584100962830000 ,-0.01537835784738870000 ,0.00001842264343254740 ,-0.00330310585206250000 ,0.01873750292746860000 ,0.00210020717937942000 ,-0.00517500940910798000 ,0.01325500583923070000 ,-0.00764722583824851000 ,0.00166719236469093000 ,0.02152257970861490000 ,0.01267070496613250000 ,-0.01617034535532150000 ,-0.00306210946115149000 ,0.06233631483325520000 ,-0.02268593324407930000 ,-0.02419302373876520000 ,0.00501293695497096000 ,-0.04438170891006590000 ,-0.01130155363005390000 ,0.05868049927054630000 ,-0.00736719379096706000 
2002/6/30,0.01095775135223760000 ,0.00884955752212391000 ,0.00864667083915083000 ,0.03481645535762050000 ,-0.02637324967024130000 ,0.01939712779141270000 ,-0.02631216094888110000 ,-0.03820619819361570000 ,0.01201706701077620000 ,-0.00189361493889673000 ,-0.05045871559633030000 ,0.00623499210259482000 ,-0.07738816625864080000 ,-0.06084668608097110000 ,-0.05687342193482890000 ,-0.03980586713842180000 ,-0.07529318615807370000 ,-0.03471618717791170000 ,-0.05211102257855430000 ,-0.04995843095759960000 ,-0.09250470833916820000 ,-0.05741843755231080000 ,-0.04961750890732670000 ,-0.06704690574266560000 ,-0.03705404991578630000 ,-0.07123015466692740000 
2002/7/31,0.01170655210348850000 ,0.01250812215724490000 ,0.01206648019627130000 ,0.00899801404313849000 ,-0.02458572522005350000 ,-0.00541700187717897000 ,-0.03929677717540080000 ,-0.04349531411158100000 ,-0.00338600242039577000 ,-0.00196322024894280000 ,-0.04527117884356790000 ,0.02797914067680400000 ,-0.03883421295917060000 ,-0.08437773941438220000 ,-0.11256429398187800000 ,-0.09872011902822200000 ,-0.07644761508543710000 ,-0.11126810502576400000 ,-0.06946574974127880000 ,-0.03840493237867950000 ,-0.05497506995234700000 ,-0.09295905728114100000 ,-0.15103066231884300000 ,-0.09759309350927480000 ,-0.03466369852122740000 ,-0.07795408490955890000 
